"NUM";"TITLE";"PRICE";"SALEPRICE";"SALEPER";"DESCRIPTION";"IMGDATA";"GAMEIMG";"URL";"VARIA"
1170;"Midnight Prowl | 深夜徘徊";"₩ 3,400";"₩ 2,550";"-25%";"Midnight Prowl is a horror exploration game set in a Japanese town where you will experience the horror that takes place there";"https://cdn.akamai.steamstatic.com/steam/apps/2556950/header.jpg?t=1695881182";"https://cdn.akamai.steamstatic.com/steam/apps/2556950/ss_bde2f6793a649d1feb14b1511a30683dcfa65ec3.1920x1080.jpg?t=1695881182";"https://store.steampowered.com/app/2556950/Midnight_Prowl?snr=1_2300_4__salebrowseall";1
1171;"The Gray Man";"₩ 16,500";"₩ 12,370";"-25%";"The Gray Man is a surreal firstperson pointandclick adventure about a serial killer who confronts the player as the murderers conscience with interpretations of his internal conflict";"https://cdn.akamai.steamstatic.com/steam/apps/2216860/header.jpg?t=1699911131";"https://cdn.akamai.steamstatic.com/steam/apps/2216860/ss_ac3548c29e797d31cfe9240fef4179d886e09130.1920x1080.jpg?t=1699911131";"https://store.steampowered.com/app/2216860/The_Gray_Man?snr=1_2300_4__salebrowseall";1
1172;"Star Farmer: Warlock of the Universe";"₩ 5,600";"₩ 4,200";"-25%";"In this relaxing bullet heaven farming adventure play as a powerful Warlock who has a side hustle harvesting plants in space";"https://cdn.akamai.steamstatic.com/steam/apps/2398900/header.jpg?t=1698158713";"https://cdn.akamai.steamstatic.com/steam/apps/2398900/ss_daa811b56fdfa9c0fa6bf7785a88f7feb8e61a56.1920x1080.jpg?t=1698158713";"https://store.steampowered.com/app/2398900/Star_Farmer_Warlock_of_the_Universe?snr=1_2300_4__salebrowseall";1
1173;"Russian Village Simulator: Music Pack";"₩ 3,400";"₩ 2,720";"-20%";"";"https://cdn.akamai.steamstatic.com/steam/apps/2619590/header.jpg?t=1696082717";"https://cdn.akamai.steamstatic.com/steam/apps/2619590/ss_b19a53e159aed271e5e1e3fff91ebebefa022cdd.1920x1080.jpg?t=1696082717";"https://store.steampowered.com/app/2619590/Russian_Village_Simulator_Music_Pack?snr=1_2300_4__salebrowseall";1
1174;"Astronimo";"₩ 16,500";"₩ 13,200";"-20%";"Astronimo는 상상의 한계를 넓히는 수많은 장착 도구를 제공하고 당신과 친구들을 광활한 태양계로 안내하는 건설 플랫폼 퍼즐 게임입니다";"https://cdn.akamai.steamstatic.com/steam/apps/1808640/header.jpg?t=1697727759";"https://cdn.akamai.steamstatic.com/steam/apps/1808640/ss_5035bebaf3c18986d5b27211618da53d4c81d1e9.1920x1080.jpg?t=1697727759";"https://store.steampowered.com/app/1808640/Astronimo?snr=1_2300_4__salebrowseall";1
1175;"Quarantine-Z: Survival";"₩ 15,500";"₩ 9,300";"-40%";"2 years have passed since a virus totally unknown to humanity originated in your small town People have become aggressive and cannibalistic";"https://cdn.akamai.steamstatic.com/steam/apps/2507780/header.jpg?t=1695815702";"https://cdn.akamai.steamstatic.com/steam/apps/2507780/ss_c8077d5fbcc2d9469ff4a9ecb106a5c994bf49d3.1920x1080.jpg?t=1695815702";"https://store.steampowered.com/app/2507780/QuarantineZ_Survival?snr=1_2300_4__salebrowseall";1
1176;"Roulette Simulator 2024";"₩ 1,100";"₩ 550";"-50%";"Roulette Simulator 2024 presents players with the greatest modern Roulette gambling simulation Experience the highs and the lows in real time as you try to beat the roulette wheel during the intensity of each spin";"https://cdn.akamai.steamstatic.com/steam/apps/2600660/header.jpg?t=1696051861";"https://cdn.akamai.steamstatic.com/steam/apps/2600660/ss_08454ee869fb0f877fde834f73f68918f85df86a.1920x1080.jpg?t=1696051861";"https://store.steampowered.com/app/2600660/Roulette_Simulator_2024?snr=1_2300_4__salebrowseall";1
1177;"Fastest Cars Traffic Racer";"₩ 1,100";"₩ 600";"-45%";"Fastest Cars Traffic Racer는 속도와 모험을 위해 끝없는 고속도로로 여러분을 초대합니다 4가지 레이싱 모드와 눈길을 사로잡는 그래픽으로 실제 레이싱 경험을 준비하세요";"https://cdn.akamai.steamstatic.com/steam/apps/2598970/header.jpg?t=1695804746";"https://cdn.akamai.steamstatic.com/steam/apps/2598970/ss_90071fd22d0ffc0ad652cf24438e187eafc77a0e.1920x1080.jpg?t=1695804746";"https://store.steampowered.com/app/2598970/Fastest_Cars_Traffic_Racer?snr=1_2300_4__salebrowseall";1
1178;"Lost Princess";"₩ 2,300";"₩ 640";"-72%";"Play this walking simulation Collect items and try to find missing Princess in big open world";"https://cdn.akamai.steamstatic.com/steam/apps/2600620/header.jpg?t=1695799470";"https://cdn.akamai.steamstatic.com/steam/apps/2600620/ss_bea2b614b90990651efb8a007c4cc8d41dad93d9.1920x1080.jpg?t=1695799470";"https://store.steampowered.com/app/2600620/Lost_Princess?snr=1_2300_4__salebrowseall";1
1179;"Girls Divers Soundtrack";"₩ 2,300";"₩ 640";"-72%";"";"https://cdn.akamai.steamstatic.com/steam/apps/2454560/header.jpg?t=1695757024";"https://cdn.akamai.steamstatic.com/steam/apps/2454560/ss_98551502db9d80358594832607b530bc9375987d.1920x1080.jpg?t=1695757024";"https://store.steampowered.com/app/2454560/Girls_Divers_Soundtrack?snr=1_2300_4__salebrowseall";1
1180;"Train Sim World® 4 Compatible: Spirit of Steam: Liverpool Lime Street - Crewe Route Add-On";"₩ 42,000";"₩ 21,000";"-50%";"";"https://cdn.akamai.steamstatic.com/steam/apps/2386140/header.jpg?t=1695748635";"https://cdn.akamai.steamstatic.com/steam/apps/2386140/ss_641edbb08b280df0660ae748bfa622c682e085fe.1920x1080.jpg?t=1695748635";"https://store.steampowered.com/app/2386140/Train_Sim_World_4_Compatible_Spirit_of_Steam_Liverpool_Lime_Street__Crewe_Route_AddOn?snr=1_2300_4__salebrowseall";1
1181;"Train Sim World® 4 Compatible: Rhein-Ruhr Osten: Wuppertal - Hagen Route Add-On";"₩ 32,000";"₩ 12,800";"-60%";"";"https://cdn.akamai.steamstatic.com/steam/apps/2375894/header.jpg?t=1695748349";"https://cdn.akamai.steamstatic.com/steam/apps/2375894/ss_861e48fe9c430c54144610c6ea9329fa13153b24.1920x1080.jpg?t=1695748349";"https://store.steampowered.com/app/2375894/Train_Sim_World_4_Compatible_RheinRuhr_Osten_Wuppertal__Hagen_Route_AddOn?snr=1_2300_4__salebrowseall";1
1182;"AfterWar";"₩ 8,900";"₩ 5,340";"-40%";"AfterWar is a strategy about Ukraine in July 2024 with end in 2036";"https://cdn.akamai.steamstatic.com/steam/apps/2497570/header.jpg?t=1697227319";"https://cdn.akamai.steamstatic.com/steam/apps/2497570/ss_019ad8771a2b9923311080e1b8fc9de405632c43.1920x1080.jpg?t=1697227319";"https://store.steampowered.com/app/2497570/AfterWar?snr=1_2300_4__salebrowseall";1
1183;"Fantasy Grounds - Starfinder RPG - Adventure Path #51: Into the Dataverse (Drift Hackers 3 of 3)";"₩ 27,000";"₩ 21,600";"-20%";"";"https://cdn.akamai.steamstatic.com/steam/apps/2544080/header.jpg?t=1695737042";"https://cdn.akamai.steamstatic.com/steam/apps/2544080/ss_eee4c953e9de0db566e4e7a5ec8a4a2a7f80a6b7.1920x1080.jpg?t=1695737042";"https://store.steampowered.com/app/2544080/Fantasy_Grounds__Starfinder_RPG__Adventure_Path_51_Into_the_Dataverse_Drift_Hackers_3_of_3?snr=1_2300_4__salebrowseall";1
1184;"Jigsaw Puzzle Pack - Pixel Puzzles Ultimate: Electro Macro";"₩ 11,000";"₩ 5,500";"-50%";"";"https://cdn.akamai.steamstatic.com/steam/apps/1952653/header.jpg?t=1696063602";"https://cdn.akamai.steamstatic.com/steam/apps/1952653/ss_7fd032f711cef54f9b90da9eaa1dbf388251ff87.1920x1080.jpg?t=1696063602";"https://store.steampowered.com/app/1952653/Jigsaw_Puzzle_Pack__Pixel_Puzzles_Ultimate_Electro_Macro?snr=1_2300_4__salebrowseall";1
1185;"Asteroids Star Fields";"₩ 6,700";"₩ 3,680";"-45%";"It is an awesome space war game It is a very simple game Move the spaceship and shoot the asteroids Try to make the highest score It is an easy and time killing game You can play to rest and relax between the big games you play";"https://cdn.akamai.steamstatic.com/steam/apps/2588820/header.jpg?t=1695668419";"https://cdn.akamai.steamstatic.com/steam/apps/2588820/ss_fcb0a89bca0cbdbe2a82f8f4feafc4f3bc77e0e5.1920x1080.jpg?t=1695668419";"https://store.steampowered.com/app/2588820/Asteroids_Star_Fields?snr=1_2300_4__salebrowseall";1
1186;"Black Forest";"₩ 16,500";"₩ 13,200";"-20%";"위험 죽음 절망이 검은 숲을 정의합니다 불운한 마을의 촌장으로서 여러분의 목표는 살아남는 것입니다 자원을 모아 마을을 지키고 무서운 밤을 견뎌내야 합니다 구조대가 도착할 때까지 충분히 오래 버틸 수 있을지도 모릅니다 아닐 수도 있겠지만 도전할 준비가 되셨나요";"https://cdn.akamai.steamstatic.com/steam/apps/523070/header.jpg?t=1699882088";"https://cdn.akamai.steamstatic.com/steam/apps/523070/ss_c856b8f16a694bb8fcc7943250833f90adfa34ea.1920x1080.jpg?t=1699882088";"https://store.steampowered.com/app/523070/Black_Forest?snr=1_2300_4__salebrowseall";1
1187;"Attack of the Karens Soundtrack";"₩ 3,400";"₩ 2,720";"-20%";"";"https://cdn.akamai.steamstatic.com/steam/apps/2486490/header.jpg?t=1695652406";"https://cdn.akamai.steamstatic.com/steam/apps/2486490/ss_7412344092f13615b70089eea6839c6a57613395.1920x1080.jpg?t=1695652406";"https://store.steampowered.com/app/2486490/Attack_of_the_Karens_Soundtrack?snr=1_2300_4__salebrowseall";1
1189;"Project Planet - Earth vs Humanity";"₩ 27,000";"₩ 21,600";"-20%";"지구가 되어 바이러스 창궐 소행성 충돌 등으로 인류를 멸망시키세요 또는 최대 5명의 친구와 함께 세계 지도자 산업 미디어 과학자 및 대중으로 팀을 이루어 생존을 위해 노력하세요 이 전략적인 파티 게임에서 불가능한 딜레마와 분기되는 내러티브가 수많은 길을 만들어냅니다";"https://cdn.akamai.steamstatic.com/steam/apps/2224610/header.jpg?t=1699015194";"https://cdn.akamai.steamstatic.com/steam/apps/2224610/ss_b7496119daa631711015f080aa7463d93e90c451.1920x1080.jpg?t=1699015194";"https://store.steampowered.com/app/2224610/Project_Planet__Earth_vs_Humanity?snr=1_2300_4__salebrowseall";1
1190;"Attack of the Karens";"₩ 8,900";"₩ 7,120";"-20%";"카렌의 습격은 카렌 밈meme을 배경으로 한 어려운 다단계 보스 전투에 중점을 둔 로그라이트 탄막 슈팅 게임이다 매니저 X15를 조종하여 악랄한 사이보그 카렌의 세상을 제거하고 약탈적 소유권 행사로 부터 도시를 구하는 임무 수행에 나서라";"https://cdn.akamai.steamstatic.com/steam/apps/1566670/header.jpg?t=1695650408";"https://cdn.akamai.steamstatic.com/steam/apps/1566670/ss_7412344092f13615b70089eea6839c6a57613395.1920x1080.jpg?t=1695650408";"https://store.steampowered.com/app/1566670/Attack_of_the_Karens?snr=1_2300_4__salebrowseall";1
1191;"Cyber mission";"₩ 11,000";"₩ 7,700";"-30%";"Sidescroller with beautiful 2D pixel art addictive shooter gameplay classic levels and weapons that will let you perform a symphony of destruction of the alien base in the black eye galaxy";"https://cdn.akamai.steamstatic.com/steam/apps/2325720/header.jpg?t=1695649775";"https://cdn.akamai.steamstatic.com/steam/apps/2325720/ss_014191f0f3c8c0f9b320f4e152069c65ff82ceab.1920x1080.jpg?t=1695649775";"https://store.steampowered.com/app/2325720/Cyber_mission?snr=1_2300_4__salebrowseall";1
1192;"Russian Village Simulator";"₩ 16,500";"₩ 13,200";"-20%";"This is a simulator of life in the Russian countryside where the player will be engaged in the garden picking mushrooms and berries collect firewood hunting and fishing brew moonshine and much much more";"https://cdn.akamai.steamstatic.com/steam/apps/2455370/header.jpg?t=1699883257";"https://cdn.akamai.steamstatic.com/steam/apps/2455370/ss_d9a2e53acb13d8a21b0984b712f0fef3a7b17984.1920x1080.jpg?t=1699883257";"https://store.steampowered.com/app/2455370/Russian_Village_Simulator?snr=1_2300_4__salebrowseall";1
1193;"These Doomed Isles";"₩ 16,500";"₩ 12,370";"-25%";"Harvest cards to raise land from the sea build settlements and rain fire upon invaders in this survival citybuilder with roguelike deckbuilding mechanics Choose from 3 gods with unique cards playstyles and abilities to lead their civilisations to victory in strategic runbased gameplay";"https://cdn.akamai.steamstatic.com/steam/apps/1840710/header.jpg?t=1699888299";"https://cdn.akamai.steamstatic.com/steam/apps/1840710/ss_070d5de066c25100d49d63c691d9c3416bcf2ae9.1920x1080.jpg?t=1699888299";"https://store.steampowered.com/app/1840710/These_Doomed_Isles?snr=1_2300_4__salebrowseall";1
1194;"Astrea: Six-Sided Oracles Soundtrack";"₩ 8,900";"₩ 8,010";"-10%";"";"https://cdn.akamai.steamstatic.com/steam/apps/2608580/header.jpg?t=1698169839";"https://cdn.akamai.steamstatic.com/steam/apps/2608580/ss_e8fbb9e4419623b9cb30804da44781b668b09d6b.1920x1080.jpg?t=1698169839";"https://store.steampowered.com/app/2608580/Astrea_SixSided_Oracles_Soundtrack?snr=1_2300_4__salebrowseall";1
1195;"Missiles Away";"₩ 2,300";"₩ 1,720";"-25%";"Humanity faces its darkest hour as an alien force launches a relentless invasion As a skilled pilot you must take control of a powerful combat helicopter and engage in a fastpaced highoctane firstperson shooter experience";"https://cdn.akamai.steamstatic.com/steam/apps/2361450/header.jpg?t=1698171245";"https://cdn.akamai.steamstatic.com/steam/apps/2361450/ss_a5e68c7a7d92a90a6f27c6c351d76f535d7d4731.1920x1080.jpg?t=1698171245";"https://store.steampowered.com/app/2361450/Missiles_Away?snr=1_2300_4__salebrowseall";1
