"NUM";"TITLE";"genre"
160;"비타차드 애니멀 밸리 (영어)";"어드벤처"
161;"비타차드 애니멀 밸리 (영어)";"시뮬레이터"
162;"Bug Fables:영생의 묘목 (한국어, 영어, 일본어)";"어드벤처"
163;"Bug Fables:영생의 묘목 (한국어, 영어, 일본어)";"가족"
164;"Bug Fables:영생의 묘목 (한국어, 영어, 일본어)";"롤플레잉 게임"
165;"Construction Machine Simulator 2023 : Hard Truck Work Job (영어)";"액션"
166;"Construction Machine Simulator 2023 : Hard Truck Work Job (영어)";"전략"
167;"Construction Machine Simulator 2023 : Hard Truck Work Job (영어)";"시뮬레이션"
168;"Draknek and Friends 퍼즐 번들 (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"퍼즐"
169;"Firefighter Simulator 911 : Car Fire Truck Driver (영어)";"시뮬레이션"
170;"Funtasia (중국어(간체자), 한국어, 영어, 일본어)";"아케이드"
171;"Funtasia (중국어(간체자), 한국어, 영어, 일본어)";"드라이빙/레이싱"
172;"Funtasia (중국어(간체자), 한국어, 영어, 일본어)";"시뮬레이션"
173;"Glitch Busters: 보스 챌린지 팩 (한국어판)";"액션"
174;"Mail Time (중국어(간체자), 한국어, 영어, 일본어)";"어드벤처"
175;"Mail Time (중국어(간체자), 한국어, 영어, 일본어)";"캐주얼"
176;"orbit.industries (중국어(간체자), 영어)";"시뮬레이션"
177;"Reverie (한국어판)";"어드벤처"
178;"SuperEpic - 슈퍼 에픽 (영어)";"액션"
179;"SuperEpic - 슈퍼 에픽 (영어)";"액션"
180;"Terraformers + Tin Can - Complete Edition (중국어(간체자), 한국어, 영어, 일본어, 중국어(번체자))";"전략"
181;"Under The Jolly Roger - Avatar Full Game Bundle (중국어(간체자), 영어, 일본어)";"유니크"
182;"추가 의상 팩 '귀멸 학원・하복' PS4&PS5 (한국어)";"액션"
183;"'다키' 캐릭터 팩 PS4&PS5 (한국어판)";"액션"
184;"'규타로' 캐릭터 팩 PS4&PS5 (한국어판)";"액션"
185;"'카마도 네즈코(혈귀화 진행 시)' 캐릭터 팩 PS4&PS5 (한국어판)";"액션"
186;"카마도 탄지로(환락의 거리편)' '아가츠마 젠이츠(환락의 거리편)' '하시비라 이노스케(환락의 거리편)' 캐릭터 팩 PS4&PS5 (추가 콘텐츠)";"액션"
187;"'우즈이 텐겐' 캐릭터 팩 PS4&PS5 (한국어판)";"액션"
188;"철권7 DLC10 ""자피나"" (한국어판)";"격투"
189;"철권7 DLC10 ""자피나"" (한국어판)";"액션"
190;"철권7 DLC10 ""자피나"" (한국어판)";"격투"
191;"철권7 DLC11 '간류' (한국어판)";"격투"
192;"철권7 DLC11 '간류' (한국어판)";"액션"
193;"철권7 DLC11 '간류' (한국어판)";"격투"
194;"철권7 DLC12 '리로이 스미스' (한국어판)";"격투"
195;"철권7 DLC12 '리로이 스미스' (한국어판)";"액션"
196;"철권7 DLC12 '리로이 스미스' (한국어판)";"격투"
197;"철권7 DLC13 '프레임 데이터 디스플레이' (한국어판)";"격투"
198;"철권7 DLC13 '프레임 데이터 디스플레이' (한국어판)";"액션"
199;"철권7 DLC13 '프레임 데이터 디스플레이' (한국어판)";"격투"
200;"철권7 DLC14 '파캄람' (한국어판)";"격투"
