"NUM";"TITLE";"PRICE";"SALEPRICE";"SALEPER";"DESCRIPTION";"IMGDATA";"GAMEIMG";"URL";"VARIA"
184;"Terracards";"₩ 9,900";"₩ 7,920";"-20%";"농사를 짓고 판매하고 배우고 반복하세요 테라카드는 당신이 자신의 농장을 관리하는 전술적인 로그라이크 덱 빌더 게임입니다 당신은 동물 농작물 건물 등의 카드를 이용하여 이를 매 턴마다 소중한 자원과 부를 형성해 나갑니다 그러나 주의하세요  자금이 바닥나면 게임 오버입니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/2464880/header.jpg?t=1699404098";"https://cdn.cloudflare.steamstatic.com/steam/apps/2464880/ss_68bdffb9b75fea4507f296eba9a207e01a06d326.1920x1080.jpg?t=1699404098";"https://store.steampowered.com/app/2464880/Terracards?snr=1_2300_4__salebrowseall";1
185;"Mount & Blade: Warband - Napoleonic Wars";"₩ 12,000";"₩ 3,000";"-75%";"";"https://cdn.cloudflare.steamstatic.com/steam/apps/48705/header.jpg?t=1589227393";"https://cdn.cloudflare.steamstatic.com/steam/apps/48705/ss_b67f04578106022138e4599aa9ac82f9fee3fa1d.1920x1080.jpg?t=1589227393";"https://store.steampowered.com/app/48705/Mount__Blade_Warband__Napoleonic_Wars?snr=1_2300_4__salebrowseall";1
186;"Saints Row";"₩ 30,400";"₩ 20,060";"-34%";"미 남서부의 활기 넘치는 가상 도시 산토 일레소에 오신 것을 환영합니다 범죄가 들끓는 세계 권력 쟁취를 위한 싸움이 난무하는 무법천지에 젊은 친구들이 모여 범죄 벤처를 세웁니다 목표는 자수성가해 최고의 자리에 올라서는 것";"https://cdn.cloudflare.steamstatic.com/steam/apps/742420/header.jpg?t=1698392762";"https://cdn.cloudflare.steamstatic.com/steam/apps/742420/ss_974e0c2f62c2e2f62decce8ef0c7333a63472f0e.1920x1080.jpg?t=1698392762";"https://store.steampowered.com/app/742420/Saints_Row?snr=1_2300_4__salebrowseall";1
187;"When The Past Was Around";"₩ 8,900";"₩ 5,340";"-40%";"웬 더 패스트 워즈 어라운드는 사랑과 성장 및 포기 그리고 기쁨과 고통 사이에 있는 모든 것에 대해 다루는 포인트 앤 클릭 퍼즐 게임입니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/1164050/header.jpg?t=1690967773";"https://cdn.cloudflare.steamstatic.com/steam/apps/1164050/ss_30440560c5342312cef8e43c0007502375b661fb.1920x1080.jpg?t=1690967773";"https://store.steampowered.com/app/1164050/When_The_Past_Was_Around?snr=1_2300_4__salebrowseall";1
188;"Moving Out";"₩ 26,000";"₩ 6,500";"-75%";"Moving Out은 즐거운 물리 기반 이삿짐 운반 시뮬레이터로 카우치 코옵 장르에 새로운 바람을 몰고 올 겁니다 이삿짐 운반 회사에서 일을 시작할 준비는 되셨나요 여러분은 새롭게 검증된 가구 정리 및 재배치 기술자로서 Packmore라는 도시 전역에서 이삿짐 운반 업무를 맡습니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/996770/header.jpg?t=1684486398";"https://cdn.cloudflare.steamstatic.com/steam/apps/996770/ss_17984d719e442ba6863288e3c1ebedea216005b2.1920x1080.jpg?t=1684486398";"https://store.steampowered.com/app/996770/Moving_Out?snr=1_2300_4__salebrowseall";1
189;"Mega Man X Legacy Collection";"₩ 19,000";"₩ 7,600";"-60%";"록맨 30주년과 록맨 X25주년을 기념하여 명작 액션게임 록맨 X시리즈 8작품이 컬렉션으로 새롭게 단장되어 등장 본작 컬렉션 1에는 시리즈 초기의 록맨 XX4까지의 이식판을 수록다른 상품컬렉션 2에는 X5X8을 수록";"https://cdn.cloudflare.steamstatic.com/steam/apps/743890/header.jpg?t=1669873820";"https://cdn.cloudflare.steamstatic.com/steam/apps/743890/ss_fbcac871394154ee5f02817cec7773eb09cebceb.1920x1080.jpg?t=1669873820";"https://store.steampowered.com/app/743890/Mega_Man_X_Legacy_Collection?snr=1_2300_4__salebrowseall";1
190;"MUSYNX";"₩ 4,400";"₩ 1,100";"-75%";"인디 리듬 게임 MUSYNX가 스팀으로 출시되었습니다";"https://cdn.cloudflare.steamstatic.com/steam/apps/952040/header.jpg?t=1693804843";"https://cdn.cloudflare.steamstatic.com/steam/apps/952040/ss_8e10699510698eee5e4555a3f90ef985c1523ced.1920x1080.jpg?t=1693804843";"https://store.steampowered.com/app/952040/MUSYNX?snr=1_2300_4__salebrowseall";1
191;"아카데미 스토리3 (Pocket Academy 3)";"₩ 12,000";"₩ 10,080";"-16%";"드디어 축제도 등장 동아리 활동 공부 그리고 사랑과 청춘이 빛나는 학교 운영 게임 12년 만의 최신작";"https://cdn.cloudflare.steamstatic.com/steam/apps/2191490/header.jpg?t=1689579271";"https://cdn.cloudflare.steamstatic.com/steam/apps/2191490/ss_f77f151372844795b4d1ed0fd39a7844e4634a77.1920x1080.jpg?t=1689579271";"https://store.steampowered.com/app/2191490/_3_Pocket_Academy_3?snr=1_2300_4__salebrowseall";1
192;"Age of Wonders 4: Dragon Dawn";"₩ 11,000";"₩ 9,900";"-10%";"";"https://cdn.cloudflare.steamstatic.com/steam/apps/2367860/header.jpg?t=1695309176";"https://cdn.cloudflare.steamstatic.com/steam/apps/2367860/ss_ae910fad54c0ccbb50a9b1c45afeb69a5f501aa7.1920x1080.jpg?t=1695309176";"https://store.steampowered.com/app/2367860/Age_of_Wonders_4_Dragon_Dawn?snr=1_2300_4__salebrowseall";1
193;"Thriving City: Song";"₩ 20,500";"₩ 16,400";"-20%";"In 960 AD the Zhao Song Dynasty was established As the mayor youll need to help the townspeople settle down cultivate the land and expand However when the emperor issues a national mandate conflicts between factions threaten city developmentwhat strategy will you adopt";"https://cdn.cloudflare.steamstatic.com/steam/apps/1956800/header.jpg?t=1697531871";"https://cdn.cloudflare.steamstatic.com/steam/apps/1956800/ss_45c3b85286da463c6448d6e21d61f646842f0511.1920x1080.jpg?t=1697531871";"https://store.steampowered.com/app/1956800/Thriving_City_Song?snr=1_2300_4__salebrowseall";1
